full_team_picks,team_picks,full_opponent_picks,opponent_picks,picked_hero,win,match_id,start_time
"Jakiro,Sniper,Pudge,Anti-Mage,Spirit Breaker","Jakiro,Sniper,Pudge","Ogre Magi,Lion,Phantom Assassin,Huskar,Lina","Ogre Magi,Lion",Anti-Mage,1,8450547418,1757230111
"Shadow Shaman,Windranger,Axe,Medusa,Batrider","Shadow Shaman,Windranger,Axe","Witch Doctor,Lion,Pudge,Slardar,Disruptor,Anti-Mage",Witch Doctor,Medusa,0,8450614450,1757233555
"Zeus,Crystal Maiden,Lifestealer,Nyx Assassin,Pangolier","Zeus,Crystal Maiden,Lifestealer","Pudge,Invoker,Axe,Shadow Shaman,Medusa,Skywrath Mage",Invoker,Nyx Assassin,1,8450780762,1757241595
"Magnus,Warlock,Medusa,Legion Commander,Windranger","Magnus,Warlock","Pudge,Beastmaster,Silencer,Invoker,Venomancer,Anti-Mage",Beastmaster,Medusa,0,8450909607,1757246881
"Silencer,Earthshaker,Spirit Breaker,Medusa,Shadow Fiend","Silencer,Earthshaker,Spirit Breaker","Pudge,Queen of Pain,Slardar,Visage,Ursa","Pudge,Queen of Pain",Medusa,0,8451046634,1757251848
"Invoker,Venomancer,Earthshaker,Wraith King,Axe","Invoker,Venomancer,Earthshaker,Wraith King","Vengeful Spirit,Magnus,Faceless Void,Lion,Void Spirit","Vengeful Spirit,Magnus,Faceless Void,Lion",Axe,1,8451125932,1757254418
"Warlock,Dazzle,Axe,Luna,Wraith King","Warlock,Dazzle,Axe,Luna","Pudge,Witch Doctor,Venomancer,Windranger,Drow Ranger","Pudge,Witch Doctor,Venomancer,Windranger",Wraith King,1,8451208739,1757257159
"Tusk,Witch Doctor,Monkey King,Sand King,Dragon Knight",Tusk,"Tinker,Mars,Viper,Zeus,Legion Commander",,Witch Doctor,1,8451292135,1757260228
"Ogre Magi,Chaos Knight,Warlock,Wraith King,Lion","Ogre Magi,Chaos Knight,Warlock","Mirana,Io,Timbersaw,Slark,Shadow Fiend","Mirana,Io",Wraith King,1,8451411130,1757264882
"Jakiro,Techies,Wraith King,Juggernaut,Centaur Warrunner","Jakiro,Techies","Pudge,Lion,Sand King,Sniper,Slark,Medusa",Lion,Wraith King,1,8451482153,1757267923
"Lion,Sniper,Wraith King,Invoker,Medusa","Lion,Sniper,Wraith King,Invoker","Pudge,Skywrath Mage,Legion Commander,Sven,Kunkka","Pudge,Skywrath Mage,Legion Commander,Sven",Medusa,0,8451530326,1757270067
"Ancient Apparition,Zeus,Mars,Clinkz,Outworld Destroyer","Ancient Apparition,Zeus,Mars","Pudge,Hoodwink,Beastmaster,Shadow Shaman,Slark","Pudge,Hoodwink",Clinkz,1,8451589262,1757272823
"Zeus,Wraith King,Grimstroke,Lion,Hoodwink,Doom",Zeus,"Marci,Legion Commander,Ogre Magi,Nyx Assassin,Windranger",,Wraith King,1,8453029572,1757360793
"Abaddon,Lion,Lina,Oracle,Clinkz","Abaddon,Lion,Lina,Oracle","Pudge,Monkey King,Sniper,Crystal Maiden,Slardar,Alchemist","Monkey King,Sniper,Crystal Maiden",Clinkz,0,8454081581,1757432060
"Pudge,Witch Doctor,Queen of Pain,Warlock,Slark","Pudge,Witch Doctor,Queen of Pain","Mars,Sniper,Undying,Clinkz,Monkey King","Mars,Sniper",Warlock,0,8454151001,1757434834
"Silencer,Hoodwink,Razor,Phantom Assassin,Anti-Mage","Silencer,Hoodwink,Razor,Phantom Assassin","Pudge,Snapfire,Wraith King,Vengeful Spirit,Morphling","Pudge,Snapfire,Wraith King,Vengeful Spirit",Anti-Mage,1,8454225808,1757437870
"Pudge,Oracle,Sniper,Winter Wyvern,Medusa,Axe","Oracle,Sniper,Winter Wyvern","Lich,Silencer,Night Stalker,Huskar,Phantom Assassin","Lich,Silencer,Night Stalker,Huskar",Medusa,0,8454367234,1757443814
"Lich,Shadow Demon,Medusa,Earthshaker,Invoker",,"Pudge,Vengeful Spirit,Witch Doctor,Nature's Prophet,Warlock,Faceless Void,Anti-Mage",,Lich,1,8454423789,1757446394
"Sniper,Skywrath Mage,Troll Warlord,Juggernaut,Medusa","Sniper,Skywrath Mage,Troll Warlord,Juggernaut","Pudge,Mirana,Windranger,Rubick,Phantom Lancer","Pudge,Mirana,Windranger,Rubick",Medusa,0,8455501897,1757518764
"Ancient Apparition,Nyx Assassin,Legion Commander,Huskar,Kunkka,Medusa,Wraith King","Ancient Apparition,Nyx Assassin,Huskar,Kunkka","Invoker,Witch Doctor,Earthshaker,Lifestealer,Puck,Viper","Invoker,Witch Doctor,Lifestealer",Wraith King,1,8455577003,1757521578
"Invoker,Necrophos,Shadow Shaman,Witch Doctor,Wraith King","Invoker,Necrophos,Shadow Shaman,Witch Doctor","Treant Protector,Ogre Magi,Lion,Queen of Pain,Windranger","Treant Protector,Ogre Magi,Lion,Queen of Pain",Wraith King,1,8455848576,1757532978
"Pudge,Sniper,Weaver,Ogre Magi,Wraith King,Winter Wyvern","Sniper,Weaver,Ogre Magi","Nyx Assassin,Phantom Assassin,Nature's Prophet,Spirit Breaker,Necrophos","Nyx Assassin,Phantom Assassin,Nature's Prophet,Spirit Breaker",Wraith King,0,8457162713,1757618479
"Lina,Lich,Riki,Queen of Pain,Lone Druid","Lina,Lich,Riki,Queen of Pain","Undying,Windranger,Juggernaut,Lion,Pangolier","Undying,Windranger,Juggernaut,Lion",Lone Druid,0,8458222230,1757689607
"Marci,Wraith King,Spirit Breaker,Nature's Prophet,Bristleback,Nyx Assassin",Marci,"Pudge,Shadow Shaman,Lion,Magnus,Clinkz,Ursa",,Wraith King,1,8458361998,1757694416
"Tiny,Venomancer,Rubick,Axe,Wraith King,Medusa","Tiny,Venomancer,Rubick,Axe","Lich,Windranger,Shadow Shaman,Anti-Mage,Centaur Warrunner,Lifestealer","Windranger,Shadow Shaman,Anti-Mage",Medusa,0,8458454837,1757697797
"Venomancer,Undying,Earthshaker,Legion Commander,Troll Warlord","Venomancer,Undying,Earthshaker","Pudge,Muerta,Juggernaut,Techies,Tinker,Lone Druid",Muerta,Legion Commander,0,8458525776,1757700541
"Sniper,Wraith King,Bloodseeker,Lion,Clinkz","Sniper,Wraith King,Bloodseeker,Lion","Shadow Shaman,Enchantress,Legion Commander,Shadow Fiend,Spectre","Shadow Shaman,Enchantress,Legion Commander,Shadow Fiend",Clinkz,1,8458591353,1757703096
"Snapfire,Spirit Breaker,Queen of Pain,Rubick,Medusa","Snapfire,Spirit Breaker,Queen of Pain,Rubick","Jakiro,Windranger,Dawnbreaker,Earthshaker,Puck","Jakiro,Windranger,Dawnbreaker,Earthshaker",Medusa,1,8458675477,1757706621
"Crystal Maiden,Vengeful Spirit,Legion Commander,Sniper,Drow Ranger",Crystal Maiden,"Pudge,Puck,Lich,Queen of Pain,Medusa",,Vengeful Spirit,1,8458731955,1757709096
"Nature's Prophet,Abaddon,Wraith King,Rubick,Medusa","Nature's Prophet,Abaddon,Wraith King,Rubick","Pudge,Elder Titan,Earthshaker,Phantom Assassin,Sand King","Pudge,Elder Titan,Earthshaker,Phantom Assassin",Medusa,0,8458795540,1757712562
"Pugna,Chaos Knight,Dazzle,Clinkz,Outworld Destroyer","Pugna,Chaos Knight,Dazzle","Grimstroke,Earthshaker,Pudge,Phantom Assassin,Ember Spirit","Grimstroke,Earthshaker",Clinkz,1,8458848664,1757715951
"Invoker,Weaver,Enigma,Ogre Magi,Silencer","Invoker,Weaver,Enigma,Ogre Magi","Lion,Slardar,Ursa,Bounty Hunter,Nyx Assassin,Dragon Knight","Slardar,Ursa,Bounty Hunter",Silencer,0,8459540966,1757761888
"Spirit Breaker,Nyx Assassin,Witch Doctor,Kunkka,Clinkz",Spirit Breaker,"Pudge,Ringmaster,Jakiro,Faceless Void,Centaur Warrunner,Silencer",,Nyx Assassin,1,8459634384,1757765657
"Hoodwink,Legion Commander,Medusa,Witch Doctor,Skywrath Mage","Hoodwink,Legion Commander","Nyx Assassin,Ancient Apparition,Dawnbreaker,Terrorblade,Pangolier","Nyx Assassin,Ancient Apparition",Medusa,1,8459730673,1757769137
"Pudge,Shadow Shaman,Wraith King,Death Prophet,Windranger,Disruptor",Shadow Shaman,"Earthshaker,Witch Doctor,Lion,Ursa,Spirit Breaker","Earthshaker,Witch Doctor",Wraith King,0,8459826306,1757772383
"Techies,Mars,Jakiro,Pudge,Medusa","Techies,Mars,Jakiro,Pudge","Storm Spirit,Lion,Sniper,Wraith King,Gyrocopter,Tidehunter","Storm Spirit,Lion,Sniper",Medusa,0,8460458784,1757795412
"Tusk,Shadow Shaman,Earthshaker,Lina,Medusa","Tusk,Shadow Shaman,Earthshaker,Lina","Pudge,Witch Doctor,Nature's Prophet,Kez,Legion Commander","Pudge,Witch Doctor,Nature's Prophet,Kez",Medusa,1,8460524685,1757798526
"Spirit Breaker,Wraith King,Sniper,Batrider,Outworld Destroyer",Spirit Breaker,"Templar Assassin,Kunkka,Dawnbreaker,Jakiro,Pugna",,Wraith King,0,8461093644,1757838036
"Lion,Bounty Hunter,Axe,Medusa,Earthshaker","Lion,Bounty Hunter,Axe","Broodmother,Gyrocopter,Spirit Breaker,Chaos Knight,Faceless Void","Broodmother,Gyrocopter",Medusa,1,8461148626,1757840982
"Snapfire,Lion,Io,Wraith King,Bristleback,Viper","Snapfire,Io","Warlock,Hoodwink,Anti-Mage,Primal Beast,Broodmother","Warlock,Hoodwink",Wraith King,0,8461943736,1757872273
"Necrophos,Lion,Pudge,Silencer,Sniper","Necrophos,Lion,Pudge","Earthshaker,Sven,Winter Wyvern,Elder Titan,Hoodwink","Earthshaker,Sven",Silencer,0,8462009502,1757875436
"Bounty Hunter,Pudge,Rubick,Axe,Necrophos,Wraith King","Bounty Hunter,Rubick,Axe,Necrophos","Vengeful Spirit,Dazzle,Dragon Knight,Tinker,Shadow Fiend","Vengeful Spirit,Dazzle,Dragon Knight,Tinker",Wraith King,1,8462076120,1757878703
"Abaddon,Jakiro,Puck,Leshrac,Lifestealer",,"Pudge,Necrophos,Naga Siren,Rubick,Legion Commander,Undying,Lycan",,Abaddon,0,8462175089,1757882923
"Lion,Crystal Maiden,Slardar,Phantom Assassin,Snapfire","Lion,Crystal Maiden","Pudge,Queen of Pain,Shadow Fiend,Legion Commander,Phoenix,Drow Ranger","Pudge,Queen of Pain",Slardar,1,8462228234,1757885918
"Ogre Magi,Weaver,Zeus,Io,Wraith King","Ogre Magi,Weaver,Zeus,Io","Dawnbreaker,Crystal Maiden,Techies,Kez,Ursa","Dawnbreaker,Crystal Maiden,Techies,Kez",Wraith King,1,8462289925,1757890487
"Pudge,Oracle,Legion Commander,Ogre Magi,Medusa","Pudge,Oracle,Legion Commander,Ogre Magi","Shadow Demon,Broodmother,Pugna,Juggernaut,Chaos Knight","Shadow Demon,Broodmother,Pugna,Juggernaut",Medusa,1,8463634932,1757963658
"Skywrath Mage,Silencer,Night Stalker,Medusa,Queen of Pain","Skywrath Mage,Silencer,Night Stalker","Nature's Prophet,Ogre Magi,Faceless Void,Tusk,Sniper","Nature's Prophet,Ogre Magi",Medusa,1,8463721436,1757967488
"Pudge,Wraith King,Invoker,Broodmother,Venomancer,Windranger","Wraith King,Invoker","Techies,Shadow Fiend,Lina,Jakiro,Clinkz","Techies,Shadow Fiend",Broodmother,0,8465098682,1758046503
"Witch Doctor,Skywrath Mage,Visage,Tinker,Wraith King","Witch Doctor,Skywrath Mage,Visage,Tinker","Pudge,Snapfire,Legion Commander,Medusa,Ursa","Pudge,Snapfire,Legion Commander,Medusa",Wraith King,1,8465226023,1758051699
"Hoodwink,Wraith King,Oracle,Zeus,Legion Commander",Hoodwink,"Spectre,Warlock,Lion,Queen of Pain",,Wraith King,1,8466817846,1758140806
"Silencer,Phantom Lancer,Shadow Shaman,Wraith King,Warlock,Legion Commander","Phantom Lancer,Shadow Shaman","Sven,Zeus,Necrophos,Undying,Spirit Breaker","Sven,Zeus",Wraith King,1,8467934411,1758209936
"Sniper,Wraith King,Lion,Jakiro,Undying,Rubick",Sniper,"Venomancer,Ogre Magi,Earthshaker,Disruptor,Clinkz,Lich,Drow Ranger",,Wraith King,1,8467991527,1758211805
"Warlock,Mirana,Luna,Axe,Wraith King","Warlock,Mirana,Luna,Axe","Pudge,Spirit Breaker,Medusa,Venomancer,Beastmaster","Pudge,Spirit Breaker,Medusa,Venomancer",Wraith King,0,8468095461,1758215410
"Marci,Vengeful Spirit,Earthshaker,Lion,Lifestealer",Marci,"Pudge,Crystal Maiden,Centaur Warrunner,Skywrath Mage,Anti-Mage",,Vengeful Spirit,1,8468239564,1758220729
"Witch Doctor,Dawnbreaker,Ember Spirit,Lion,Juggernaut","Witch Doctor,Dawnbreaker,Ember Spirit,Lion","Pudge,Techies,Clinkz,Mars,Anti-Mage,Shadow Fiend","Techies,Clinkz,Mars",Juggernaut,0,8468317078,1758224087
"Lifestealer,Slardar,Lion,Zeus,Nature's Prophet","Lifestealer,Slardar,Lion","Necrophos,Shadow Fiend,Slark,Nyx Assassin,Ogre Magi","Necrophos,Shadow Fiend",Zeus,0,8475315610,1758562282
"Razor,Magnus,Anti-Mage,Lion,Hoodwink","Razor,Magnus","Zeus,Shadow Shaman,Slardar,Pangolier,Juggernaut","Zeus,Shadow Shaman",Anti-Mage,0,8475455756,1758567496
"Luna,Rubick,Tiny,Warlock,Faceless Void,Spectre","Luna,Rubick,Tiny,Warlock","Timbersaw,Zeus,Bristleback,Nyx Assassin,Templar Assassin","Timbersaw,Zeus,Bristleback,Nyx Assassin",Spectre,0,8475571509,1758572666
"Lion,Sven,Weaver,Viper","Lion,Sven,Weaver","Muerta,Shadow Fiend,Huskar,Techies,Crystal Maiden","Muerta,Shadow Fiend",Viper,1,8475627733,1758575965
"Spectre,Keeper of the Light,Warlock,Earthshaker,Viper","Spectre,Keeper of the Light,Warlock,Earthshaker","Phantom Lancer,Shadow Shaman,Necrophos,Dawnbreaker,Enchantress","Phantom Lancer,Shadow Shaman,Necrophos,Dawnbreaker",Viper,1,8476977729,1758650550
"Pudge,Pangolier,Faceless Void,Hoodwink,Warlock,Clockwerk",Pangolier,"Ursa,Venomancer,Keeper of the Light,Marci,Gyrocopter","Ursa,Venomancer",Faceless Void,1,8478295355,1758727099
"Shadow Shaman,Centaur Warrunner,Witch Doctor,Zeus,Faceless Void","Shadow Shaman,Centaur Warrunner,Witch Doctor,Zeus","Crystal Maiden,Bloodseeker,Alchemist,Drow Ranger,Ogre Magi,Mirana","Bloodseeker,Alchemist,Drow Ranger",Faceless Void,0,8478394672,1758730400
"Ogre Magi,Pangolier,Dark Willow,Faceless Void,Monkey King","Ogre Magi,Pangolier,Dark Willow","Troll Warlord,Pudge,Lion,Axe,Abaddon,Drow Ranger",Troll Warlord,Faceless Void,1,8478608357,1758738277
"Juggernaut,Pugna,Clinkz,Lion,Abaddon",,"Shadow Fiend,Terrorblade,Monkey King,Axe,Ogre Magi",,Juggernaut,1,8478709593,1758742288
"Crystal Maiden,Pudge,Faceless Void,Storm Spirit,Magnus","Crystal Maiden,Pudge","Disruptor,Sniper,Ogre Magi,Omniknight,Earthshaker","Disruptor,Sniper",Faceless Void,1,8478797689,1758746532
"Hoodwink,Snapfire,Faceless Void,Wraith King,Ancient Apparition","Hoodwink,Snapfire","Lion,Skywrath Mage,Slardar,Invoker,Sven","Lion,Skywrath Mage",Faceless Void,1,8480114508,1758822688
"Sniper,Zeus,Axe,Winter Wyvern,Faceless Void","Sniper,Zeus,Axe,Winter Wyvern","Pudge,Invoker,Lion,Phantom Lancer,Necrophos","Pudge,Invoker,Lion,Phantom Lancer",Faceless Void,0,8481652639,1758906388
"Witch Doctor,Faceless Void,Tidehunter,Outworld Destroyer,Rubick",Witch Doctor,"Pudge,Sniper,Nyx Assassin,Dawnbreaker,Shadow Shaman,Phantom Lancer",,Faceless Void,1,8481735505,1758909124
"Invoker,Zeus,Juggernaut,Centaur Warrunner,Huskar","Invoker,Zeus","Medusa,Lion,Visage,Abaddon,Void Spirit","Medusa,Lion",Juggernaut,1,8481938562,1758916583
"Ogre Magi,Ringmaster,Phantom Assassin,Faceless Void,Silencer","Ogre Magi,Ringmaster,Phantom Assassin","Spirit Breaker,Earth Spirit,Windranger,Slark,Chaos Knight","Spirit Breaker,Earth Spirit",Faceless Void,0,8481994098,1758918922
"Shadow Fiend,Necrophos,Queen of Pain,Lion,Bounty Hunter,Batrider,Weaver","Necrophos,Queen of Pain,Lion,Batrider","Sniper,Phantom Assassin,Nyx Assassin,Templar Assassin,Terrorblade","Sniper,Nyx Assassin,Templar Assassin",Weaver,1,8482048565,1758921562
"Necrophos,Anti-Mage,Undying,Weaver,Nyx Assassin","Necrophos,Anti-Mage,Undying,Weaver","Lich,Witch Doctor,Pudge,Shadow Fiend,Phantom Lancer","Lich,Witch Doctor,Pudge,Shadow Fiend",Nyx Assassin,0,8483202931,1758982718
"Necrophos,Jakiro,Techies,Templar Assassin,Faceless Void","Necrophos,Jakiro,Techies,Templar Assassin","Pudge,Meepo,Void Spirit,Ogre Magi,Abaddon","Pudge,Meepo,Void Spirit,Ogre Magi",Faceless Void,0,8483301273,1758985634
"Kez,Spectre,Lion,Winter Wyvern,Sand King",Kez,"Techies,Clinkz,Wraith King,Phantom Assassin,Vengeful Spirit",,Spectre,0,8483427480,1758989516
"Morphling,Venomancer,Sven,Silencer,Drow Ranger","Morphling,Venomancer,Sven","Phoenix,Legion Commander,Lion,Juggernaut,Necrophos","Phoenix,Legion Commander",Silencer,0,8483552065,1758993488
"Winter Wyvern,Faceless Void,Juggernaut,Chaos Knight,Timbersaw",Winter Wyvern,"Sniper,Grimstroke,Lion,Axe,Shadow Fiend",,Faceless Void,1,8483641305,1758996404
"Templar Assassin,Lich,Zeus,Earthshaker,Faceless Void","Templar Assassin,Lich,Zeus,Earthshaker","Mirana,Sniper,Dazzle,Medusa,Alchemist","Mirana,Sniper,Dazzle,Medusa",Faceless Void,1,8483746090,1759000108
"Riki,Sand King,Pudge,Grimstroke,Silencer","Riki,Sand King,Pudge,Grimstroke","Phantom Lancer,Bounty Hunter,Oracle,Zeus,Bristleback","Phantom Lancer,Bounty Hunter,Oracle,Zeus",Silencer,0,8483837398,1759003528
"Broodmother,Pudge,Crystal Maiden,Faceless Void,Templar Assassin","Broodmother,Pudge,Crystal Maiden","Bounty Hunter,Luna,Bristleback,Invoker,Medusa","Bounty Hunter,Luna",Faceless Void,0,8483901398,1759006149
"Mars,Techies,Jakiro,Viper,Spirit Breaker","Mars,Techies,Jakiro","Mirana,Zeus,Morphling,Lich,Medusa","Mirana,Zeus",Viper,0,8483971467,1759009513
"Windranger,Phantom Assassin,Ursa,Faceless Void,Puck","Windranger,Phantom Assassin,Ursa","Pudge,Monkey King,Marci,Queen of Pain,Leshrac","Pudge,Monkey King",Faceless Void,1,8485289985,1759073904
"Bane,Drow Ranger,Zeus,Spectre","Bane,Drow Ranger,Zeus","Witch Doctor,Anti-Mage,Queen of Pain,Silencer,Chaos Knight","Witch Doctor,Anti-Mage",Spectre,0,8485413525,1759077580
"Jakiro,Necrophos,Alchemist,Juggernaut,Silencer","Jakiro,Necrophos,Alchemist","Faceless Void,Venomancer,Legion Commander,Razor,Warlock","Faceless Void,Venomancer",Juggernaut,0,8485494996,1759080214
"Pudge,Techies,Necrophos,Mars,Phantom Lancer","Pudge,Techies,Necrophos,Mars","Sand King,Nature's Prophet,Ursa","Sand King,Nature's Prophet,Ursa",Phantom Lancer,1,8485625995,1759084790
"Tusk,Crystal Maiden,Chaos Knight,Lycan,Medusa","Tusk,Crystal Maiden,Chaos Knight,Lycan","Witch Doctor,Earthshaker,Ogre Magi,Jakiro,Legion Commander","Witch Doctor,Earthshaker,Ogre Magi,Jakiro",Medusa,1,8485924529,1759100820
"Ogre Magi,Chaos Knight,Sniper,Silencer,Wraith King,Phantom Lancer","Ogre Magi,Chaos Knight,Silencer,Wraith King","Bounty Hunter,Winter Wyvern,Mars,Luna,Skywrath Mage","Bounty Hunter,Winter Wyvern,Mars,Luna",Phantom Lancer,0,8487085512,1759165189
"Zeus,Crystal Maiden,Razor,Troll Warlord,Legion Commander","Zeus,Crystal Maiden,Razor,Troll Warlord","Shadow Fiend,Sniper,Earthshaker,Night Stalker,Venomancer","Shadow Fiend,Sniper,Earthshaker,Night Stalker",Legion Commander,1,8487143479,1759167284
"Windranger,Viper,Dragon Knight,Lina,Phantom Lancer",Windranger,"Queen of Pain,Lion,Doom,Dazzle,Io",,Viper,1,8487228565,1759170464
"Wraith King,Sniper,Vengeful Spirit,Luna,Chaos Knight","Wraith King,Sniper,Vengeful Spirit","Centaur Warrunner,Drow Ranger,Bristleback,Dawnbreaker,Enchantress","Centaur Warrunner,Drow Ranger",Luna,1,8487308329,1759173655
"Windranger,Silencer,Bloodseeker,Faceless Void,Axe","Windranger,Silencer,Bloodseeker","Crystal Maiden,Skywrath Mage,Spirit Breaker,Witch Doctor,Legion Commander,Monkey King",Skywrath Mage,Faceless Void,0,8487353391,1759175655
"Witch Doctor,Ancient Apparition,Axe,Juggernaut,Shadow Fiend","Witch Doctor,Ancient Apparition,Axe","Faceless Void,Enchantress,Silencer,Undying,Ursa","Faceless Void,Enchantress",Juggernaut,1,8487413307,1759178785
"Silencer,Vengeful Spirit,Lion,Slark,Weaver","Silencer,Vengeful Spirit,Lion","Hoodwink,Timbersaw,Zeus,Snapfire,Windranger","Hoodwink,Timbersaw",Slark,1,8488947462,1759261860
"Juggernaut,Riki,Nature's Prophet,Magnus,Faceless Void","Juggernaut,Riki,Nature's Prophet,Magnus","Zeus,Nyx Assassin,Phantom Assassin,Shadow Fiend,Witch Doctor","Zeus,Nyx Assassin,Phantom Assassin,Shadow Fiend",Faceless Void,0,8490378743,1759342336
"Venomancer,Lich,Doom,Juggernaut,Necrophos","Venomancer,Lich,Doom","Earthshaker,Tusk,Nature's Prophet,Weaver,Techies","Earthshaker,Tusk",Juggernaut,1,8490474301,1759346231
"Gyrocopter,Rubick,Zeus,Earthshaker,Viper","Gyrocopter,Rubick,Zeus,Earthshaker","Sniper,Spirit Breaker,Lion,Drow Ranger,Nature's Prophet","Sniper,Spirit Breaker,Lion,Drow Ranger",Viper,0,8493856020,1759528587
"Faceless Void,Shadow Shaman,Riki,Puck,Wraith King","Faceless Void,Shadow Shaman,Riki,Puck","Pudge,Primal Beast,Jakiro,Anti-Mage,Spirit Breaker,Silencer","Primal Beast,Jakiro,Anti-Mage",Wraith King,1,8493909689,1759532515
"Bane,Axe,Juggernaut,Underlord","Bane,Axe","Pudge,Faceless Void,Rubick,Shadow Fiend,Dazzle","Pudge,Faceless Void",Juggernaut,1,8494735763,1759582711
"Lich,Undying,Anti-Mage,Huskar,Sniper","Lich,Undying,Anti-Mage,Huskar","Shadow Fiend,Pudge,Witch Doctor,Axe,Nyx Assassin,Terrorblade","Shadow Fiend,Witch Doctor,Axe",Sniper,0,8494803309,1759584942
"Skywrath Mage,Lich,Clinkz,Spirit Breaker,Magnus","Skywrath Mage,Lich","Pudge,Windranger,Invoker,Jakiro,Ursa","Pudge,Windranger",Clinkz,0,8494914515,1759588476
"Lich,Enchantress,Clockwerk,Sniper,Templar Assassin",,"Windranger,Troll Warlord,Axe,Rubick,Juggernaut",,Lich,0,8495053058,1759592882
"Shadow Shaman,Jakiro,Invoker,Underlord,Phantom Assassin","Shadow Shaman,Jakiro,Invoker,Underlord","Disruptor,Spirit Breaker,Wraith King,Shadow Fiend,Nature's Prophet","Disruptor,Spirit Breaker,Wraith King,Shadow Fiend",Phantom Assassin,0,8495207470,1759597932
"Clockwerk,Juggernaut,Windranger,Dragon Knight,Silencer",Clockwerk,"Pudge,Lion,Rubick,Witch Doctor,Wraith King,Phantom Lancer",,Juggernaut,0,8495313948,1759601521
